id,word,polarity
547,amplification,positive
548,amplifier,positive
549,amplitude,positive
550,amputation,negative
551,amputer,negative
552,amulette,positive
553,amus,positive
554,amusant,positive
555,amusement,positive
556,amuser,positive
557,amygdale,negative
558,an,positive
559,anaconda,negative
560,anal,negative
561,analgésique,negative
562,analogie,positive
563,analogique,positive
564,analogue,positive
565,analphabète,negative
566,analphabètes,negative
567,analyse,positive
568,analyser,positive
569,analyseur,positive
570,analyste,positive
571,analytique,positive
572,ananas,positive
573,anarchie,negative
574,anarchisme,negative
575,anarchiste,negative
576,anastomose,negative
577,anathème,negative
578,anatomie,positive
579,anatomique,positive
580,ancestral,positive
581,ancêtre,positive
582,ancien,negative
583,ancienneté,positive
584,ancrage,positive
585,ancre,positive
586,andouille,negative
587,âne,negative
588,anéantir,negative
589,anéantissement,negative
590,anémie,negative
591,anémone,positive
592,ânerie,negative
593,ânesse,positive
594,anesthésiant,negative
595,anesthésie,negative
596,anesthésier,negative
597,anesthésique,negative
598,ange,positive
599,angélique,positive
600,angine,negative
601,angiographie,positive
602,angle,positive
603,angoissant,negative
604,angoisse,negative
605,angoisser,negative
606,anguille,negative
607,angulaire,positive
608,anguleux,positive
609,anhydre,positive
610,animadversion,negative
611,animal,negative
612,animation,positive
613,animer,positive
614,animosité,negative
615,ankylose,negative
616,annales,positive
617,anneau,positive
618,année,positive
619,annexe,positive
620,annexer,positive
621,annexion,positive
622,annihilation,negative
623,annihiler,negative
624,anniversaire,positive
625,annonce,positive
626,annoncer,positive
627,annotation,positive
628,annoter,positive
629,annuaire,positive
630,annuel,positive
631,annulaire,positive
632,annulation,negative
633,annuler,negative
634,anomalie,negative
635,anonyme,negative
636,anorexie,negative
637,anormal,negative
638,anormale,negative
639,anormalité,negative
640,anse,positive
641,antagoni,negative
642,antagonisme,negative
643,antagoniste,negative
644,antalgique,negative
645,antécédent,positive
646,antéchrist,negative
647,antenne,positive
648,antérieurement,positive
649,anthologie,positive
650,anthrax,negative
651,anthropologie,positive
652,anthropophage,negative
653,anthropophagie,negative
654,antibiotique,positive
655,anticipatif,positive
656,anticipation,positive
657,anticiper,positive
658,antidote,positive
659,antifongique,positive
660,antilope,positive
661,antimoine,negative
662,antipathie,negative
663,antipathique,negative
664,antiquaire,positive
665,antiquité,positive
666,antiseptique,positive
667,antisocial,negative
668,anti-social,negative
669,antithèse,negative
670,antithétique,negative
671,antitrust,negative
672,antiviral,positive
673,anxiété,negative
674,anxieux,negative
675,aok,positive
676,aorte,positive
677,août,positive
678,apache,negative
679,apaisant,positive
680,apaisement,positive
681,apaiser,positive
682,apath,negative
683,apathie,negative
684,apathique,negative
685,apercevoir,positive
686,apéritif,positive
687,aphone,negative
688,apitoiement,positive
689,aplanir,negative
690,aplatir,negative
691,aplatissement,negative
692,aplomb,positive
693,apocalyptique,negative
694,apogée,positive
695,apologétique,positive
696,apologiste,positive
697,apostasie,negative
698,apostat,negative
699,apostolique,positive
700,apostrophe,positive
701,apôtre,positive
702,appareil,positive
703,appareillage,positive
704,apparence,negative
705,apparenter,positive
706,appartement,positive
707,appât,negative
708,appâts,negative
709,appel,negative
710,appelant,positive
711,appeler,positive
712,appendice,positive
713,appendicite,negative
714,appentis,negative
715,appétissant,positive
716,appétit,positive
717,applaudir,positive
718,applaudissement,positive
719,applicabilité,positive
720,applicable,positive
721,application,positive
722,appliquer,positive
723,apporter,positive
724,apposer,positive
725,appré,positive
726,appréciable,positive
727,appréciation,positive
728,apprécier,positive
729,appréhender,negative
730,apprehens,negative
731,appréhension,negative
732,apprenant,positive
733,apprendre,positive
734,apprenti,positive
735,apprentissage,positive
736,apprêt,positive
737,apprivoisement,positive
738,apprivoiser,positive
739,approbateur,positive
740,approbation,positive
741,approche,positive
742,approcher,positive
743,approfondir,positive
744,appropirées,positive
745,appropriation,positive
746,approprier,positive
747,approuver,positive
748,approvisionnement,positive
749,approvisionner,positive
750,approximatif,positive
751,approximation,positive
752,approximativement,positive
753,appui,positive
754,appuyer,positive
755,âpreté,negative
756,aptitude,positive
757,apurement,positive
758,aqua,positive
759,aquarium,positive
760,aquatique,positive
761,aqueduc,positive
762,aqueux,negative
763,arable,positive
764,araignée,negative
765,arbalète,negative
766,arbitraire,negative
767,arbitre,positive
768,arbitrer,positive
769,arbuste,positive
770,arc,positive
771,arcade,positive
772,archaïque,negative
773,arche,positive
774,archéologie,positive
775,archéologique,positive
776,archéologue,positive
777,archer,positive
778,archétype,positive
779,archevêque,positive
780,archipel,positive
781,architecte,positive
782,architecture,positive
783,archivage,positive
784,archiver,positive
785,archives,positive
786,arctique,positive
787,ardent,positive
788,ardeur,positive
789,ardoise,positive
790,ardu,negative
791,arène,positive
792,aréole,positive
793,arête,negative
794,argent,positive
795,argenter,positive
796,argenterie,positive
797,argh,negative
798,argile,positive
799,argot,negative
800,argument,negative
801,argumentation,negative
802,argumenter,negative
803,aria,negative
804,aride,negative
805,aridité,negative
806,aristocrate,positive
807,aristocratie,positive
808,aristocratique,positive
809,arithmétique,positive
810,armada,negative
811,armature,positive
812,arme,positive
813,armement,negative
814,armer,positive
815,armi,negative
816,armoire,positive
817,armure,positive
818,armurerie,negative
819,arnaque,negative
820,arnaquer,negative
821,arnaqueur,negative
822,arôme,positive
823,arpentage,positive
824,arpenteur,positive
825,arquer,negative
826,arrachement,negative
827,arracher,negative
828,arrangement,positive
829,arranger,positive
830,arrestation,negative
831,arrêt,negative
832,arrêté,positive
833,arrêter,negative
834,arrhes,positive
835,arriération,negative
836,arriérer,negative
837,arrimer,positive
838,arrivé|arrivée,positive
839,arriver,positive
840,arriviste,negative
841,arrogan,negative
842,arrogance,negative
843,arrogant,negative
844,arrondir,positive
845,arrondissement,positive
846,arroser,negative
847,arsenal,negative
848,arsenic,negative
849,art,positive
850,artère,positive
851,artériosclérose,negative
852,arthropode,positive
853,artichaut,positive
854,article,positive
855,articulation,positive
856,articuler,positive
857,artifice,negative
858,artificielle,negative
859,artillerie,negative
860,artilleur,positive
861,artisan,positive
862,artisanal,positive
863,artisanat,positive
864,artisane,positive
865,artiste,positive
866,artistique,positive
867,as,positive
868,ascendance,positive
869,ascendant,negative
870,ascenseur,positive
871,ascension,positive
872,ascète,negative
873,ascétique,negative
874,asham,negative
875,asile,positive
876,aspartame,positive
877,aspect,positive
878,aspérité,negative
879,asphalte,negative
880,asphalter,negative
881,asphyxie,negative
882,aspic,negative
883,aspirant,positive
884,aspiration,positive
885,aspiré,negative
886,aspirent,negative
887,aspirer,negative
888,assagissement,positive
889,assaillant,negative
890,assaillent,negative
891,assaillie,negative
892,assaillies,negative
893,assaillir,negative
894,assainir,positive
895,assaisonnement,positive
896,assaisonner,positive
897,assassin,negative
898,assassinat,negative
899,assassiner,negative
900,assaut,negative
901,assèchement,negative
902,assécher,negative
903,assemblage,positive
904,assemblée,positive
905,assembler,positive
906,asséner,negative
907,assentiment,positive
908,assertion,positive
909,asservir,negative
910,asservissement,negative
911,assesseur,positive
912,assidu,positive
913,assiduité,positive
914,assiéger,negative
915,assiette,positive
916,assimilation,positive
917,assimiler,positive
918,assistance,positive
919,assistant,positive
920,assister,positive
921,association,positive
922,associer,positive
923,assoiffer,negative
924,assombrir,negative
925,assombrissement,negative
926,assommant,negative
927,assommement,negative
928,assortiment,positive
929,assoupissement,negative
930,assouplissement,positive
931,assourdir,negative
932,assourdissant,negative
933,assourdissement,negative
934,assouvir,positive
935,assouvissement,positive
936,assujettir,negative
937,assujettissement,negative
938,assurance,positive
939,assurément,positive
940,assurer,positive
941,assureur,positive
942,asswipe,negative
943,astérisque,positive
944,astéroïde,negative
945,asthénie,negative
946,asticot,negative
947,astigmatisme,negative
948,astral,positive
949,astraux,positive
950,astre,positive
951,astringent,negative
952,astrologie,positive
953,astrologue,positive
954,astronaute,positive
955,astronome,positive
956,astronomie,positive
957,astuce,negative
958,astucieux,positive
959,asunder,negative
960,asymétrie,negative
961,asymétrique,negative
962,asymptotique,positive
963,ataraxie,positive
964,atelier,positive
965,athée,negative
966,athéisme,negative
967,athéiste,negative
968,athérosclérose,negative
969,athlète,positive
970,athlétique,positive
971,athlétisme,positive
972,atlas,positive
973,atmosphère,positive
974,atmosphérique,positive
975,atoll,positive
976,atome,positive
977,atomique,negative
978,atonie,negative
979,atout,positive
980,atrabile,negative
981,atrium,positive
982,atroce,negative
983,atrocement,negative
984,atrocité,negative
985,atrophie,negative
986,atrophier,negative
987,attachant,positive
988,attachement,positive
989,attacher,positive
990,attanchants,positive
991,attaque,negative
992,attaquer,negative
993,atteindre,positive
994,attelage,positive
995,attelle,positive
996,attenant,positive
997,attendre,negative
998,attenir,positive
999,attenter,negative
1000,attentif,positive
1001,attention,positive
1002,attentionner,positive
1003,attentonnée,positive
1004,atténuer,positive
1005,atterré,negative
1006,atterrement,negative
1007,atterrer,negative
1008,atterrir,positive
1009,atterrissage,positive
1010,attestation,positive
1011,attester,positive
1012,attiger,negative
1013,attirail,positive
1014,attirance,positive
1015,attirer,positive
1016,attiser,positive
1017,attitude,positive
1018,attraction,positive
1019,attractivité,positive
1020,attraire,positive
1021,attraper,negative
1022,attribuable,negative
1023,attribuer,positive
1024,attribut,positive
1025,attribution,positive
1026,attrition,negative
1027,attroupement,positive
1028,attrouper,positive
1029,aubaine,positive
1030,aube,positive
1031,auberge,positive
1032,aubergiste,positive
1033,audace,positive
1034,audacieux,positive
1035,audibilité,positive
1036,audible,positive
1037,audit,positive
1038,auditer,positive
1039,auditeur,positive
1040,auditif,positive
1041,auditionner,positive
1042,auditorium,positive
1043,auge,positive
1044,augure,negative
1045,augurer,positive
1046,auguste,positive
1047,aumônier,positive
1048,auparavant,positive
1049,aura,positive
1050,auréole,positive
1051,aurore,positive
1052,auspice,positive
1053,austère,negative
1054,austérité,negative
1055,autel,positive
1056,authenticité,positive
1057,authentification,positive
1058,authentifier,positive
1059,authentique,positive
1060,autiste,negative
1061,auto,positive
1062,autobiographie,positive
1063,autobus,positive
1064,autochtone,positive
1065,autocrate,negative
1066,autocratique,negative
1067,autodestruction,negative
1068,autographe,positive
1069,autolâtrie,negative
1070,automatique,positive
1071,automne,negative
1072,automobile,positive
1073,autonomie,positive
1074,autopsie,negative
1075,autorisation,positive
1076,autoriser,positive
1077,autoritaire,negative
1078,autorité,positive
1079,autoroute,positive
1080,autosatisfaction,positive
1081,autosuffisance,positive
1082,autruche,negative
1083,auvent,positive
1084,avachissement,negative
1085,aval,positive
1086,avalanche,negative
1087,avaler,positive
1088,avance,positive
1089,avancement,positive
1090,avancer,positive
1091,avanie,negative
1092,avantage,positive
1093,avantager,positive
1094,avantageux,positive
1095,avar,negative
1096,avare,negative
1097,avarice,negative
1098,avarier,negative
1099,avatar,positive
1100,avenant,positive
1101,avènement,positive
1102,avenir,positive
1103,avent,positive
1104,aventureux,positive
1105,aventurier,positive
1106,aventuriers,positive
1107,avenue,positive
1108,avérer,positive
1109,avers,positive
1110,aversi,negative
1111,aversion,negative
1112,avertir,positive
1113,aveu,negative
1114,aveuglant,negative
1115,aveugle,negative
1116,aveuglement,negative
1117,aveuglément,negative
1118,aveugler,negative
1119,aveugles,negative
1120,aveulissement,negative
1121,aviateur,positive
1122,aviation,positive
1123,avide,negative
1124,avidité,negative
1125,avilissement,negative
1126,avion,positive
1127,aviron,negative
1128,aviser,positive
1129,aviver,positive
1130,avocat,positive
1131,avortement,negative
1132,avorter,negative
1133,avouer,negative
1134,axe,positive
1135,axial,positive
1136,axiomatique,positive
1137,axiome,positive
1138,azimut,positive
1139,azimuter,negative
1140,azur,positive
1141,azurer,positive
1142,babillage,negative
1143,babillent,negative
1144,babiller,negative
1145,babine,negative
1146,babouin,negative
1147,bac,negative
1148,baccalauréat,positive
1149,baccarat,positive
1150,backgammon,positive
1151,bâcler,negative
1152,bactérie,negative
1153,badaud,positive
1154,badge,positive
1155,badinage,positive
1156,badiner,positive
1157,baffe,negative
1158,Bafouement,negative
1159,bafouiller,negative
1160,bagage,positive
1161,bagagiste,positive
1162,bagarre,negative
1163,bagatelle,negative
1164,bague,positive
1165,baguette,positive
1166,bai|baie,positive
1167,baigner,negative
1168,baignoire,positive
1169,bail,positive
1170,bâillement,negative
1171,bâiller,negative
1172,bailleur,positive
1173,bâillon,negative
1174,bâillonner,negative
1175,bain,positive
1176,baïonnette,negative
1177,baise,negative
1178,baisée,negative
1179,baiser,positive
1180,baisse,negative
1181,baisser,negative
1182,baissier,negative
1183,baissière,negative
1184,balade,positive
1185,balafre,negative
1186,balafrer,negative
1187,balai,positive
1188,balaise,negative
1189,balance,positive
1190,balancement,positive
1191,balançoire,positive
1192,balayage,negative
1193,balayer|balayer,negative
1194,balbutiement,positive
1195,balbutier,negative
1196,balcon,positive
1197,baldaquin,positive
1198,baleine,negative
1199,baliverne,negative
1200,balivernes,negative
1201,ballade,positive
1202,ballast,positive
1203,ballaster,positive
1204,ballet,positive
1205,ballon,positive
1206,ballot,positive
1207,balourd,negative
1208,balsamine,positive
1209,balsamique,positive
1210,balustrade,positive
1211,banal,negative
1212,banane,positive
1213,banc,positive
1214,bancal,negative
1215,bancroche,negative
1216,bander,positive
1217,banderole,positive
1218,bandit,negative
1219,banjo,positive
1220,banlieue,negative
1221,banlieusard,negative
1222,banni,negative
1223,bannière,positive
1224,bannir,negative
1225,bannissement,negative
1226,banque,positive
1227,banquet,positive
1228,banquier,positive
1229,banquière,positive
1230,banshee,negative
1231,banshie,negative
1232,baptême,positive
1233,baptismal,positive
1234,baraque,positive
1235,baraquer,positive
1236,baratter,negative
1237,barbare,negative
1238,barbari,negative
1239,barbarie,negative
1240,barbarisme,negative
1241,barbe,negative
1242,barbecue,positive
1243,barbeler,negative
1244,barbiche,negative
1245,barbouiller,negative
1246,barbu,positive
1247,barbue,positive
1248,bardane,positive
1249,barde,positive
1250,bardeau,positive
1251,barf,negative
1252,barge,negative
1253,baril,positive
1254,barjo,negative
1255,barjot,negative
1256,barman,positive
1257,baromètre,positive
1258,baron,positive
1259,baroque,positive
1260,barque,positive
1261,barrer,negative
1262,barrette,positive
1263,barricade,negative
1264,barricader,negative
1265,barrière,negative
1266,baryton,positive
1267,bas,negative
1268,baser,positive
1269,basilique,positive
1270,basket,positive
1271,basse,negative
1272,bassin,positive
1273,bassine,positive
1274,bassiner,negative
1275,basson,positive
1276,bastion,positive
1277,bataille,negative
1278,batailler,negative
1279,bataillon,negative
1280,bâtard,negative
1281,bateau,positive
1282,bathymétrie,positive
1283,batifoler,positive
1284,bâtiment,positive
1285,bâtir,positive
1286,bâtisseur,positive
1287,battage,positive
1288,battant,positive
1289,batte,negative
1290,batterie,positive
1291,batteuse,positive
1292,battre,negative
1293,battus,negative
1294,baudrier,negative
1295,bavard,negative
1296,bavardage,negative
1297,bavarder,positive
1298,bavasser,negative
1299,bave,negative
1300,baver,positive
1301,bavette,positive
1302,bavoir,positive
1303,bavure,negative
1304,bayou,negative
1305,bazar,negative
1306,beagle,positive
1307,béant,negative
1308,béat,positive
1309,béatitude,positive
1310,beau,positive
1311,beaut,positive
1312,beauté,positive
1313,bébé,positive
1314,bébés,positive
1315,bécane,positive
1316,bêche,positive
1317,bécher,positive
1318,bêcher,positive
1319,becquet,negative
1320,béer,negative
1321,bégaiement,negative
1322,bégayer|bégayer,negative
1323,béguin,positive
1324,beignet,positive
1325,bélier,negative
1326,belle,positive
1327,belligérant,negative
1328,belliqueux,negative
1329,belvédère,positive
1330,bémol,negative
1331,bénédiction,positive
1332,bénéfice,positive
1333,bénéficiaire,positive
1334,bénéficier,positive
1335,bénéfique,positive
1336,bénévolat,positive
1337,bénévole,positive
1338,bénigne,positive
1339,bénin,positive
1340,bénir,positive
1341,benzène,negative
1342,béquille,positive
1343,berceau,positive
1344,bercer,positive
1345,berceuse,positive
1346,bergamote,positive
1347,berge,positive
1348,berger,positive
1349,berlin,positive
1350,berline,positive
1351,berner,negative
1352,besoin,positive
1353,bestial,negative
1354,bestiole,negative
1355,bétail,positive
1356,bête,negative
1357,bêtise,negative
1358,bêtises,negative
1359,béton,positive
1360,beuglement,negative
1361,beugler,negative
1362,beurre,positive
1363,beurrer,positive
1364,beuverie,negative
1365,bff,positive
1366,bg,positive
1367,biais,negative
1368,biaiser,negative
1369,bibliographie,positive
1370,bibliothécaire,positive
1371,bibliothèque,positive
1372,biblique,positive
1373,biche,positive
1374,bicouche,positive
1375,bicyclette,positive
1376,bidonner,positive
1377,bien,positive
1378,bien-aimé,positive
1379,bien-être,positive
1380,bienfaisance,positive
1381,bienfait,positive
1382,bienfaiteur,positive
1383,bienheureux,positive
1384,biennal,positive
1385,bienséance,positive
1386,bienveillance,positive
1387,bienvenir,positive
1388,bière,positive
1389,bifurcation,negative
1390,bigot,negative
1391,bihebdomadaire,positive
1392,bijou,positive
1393,bijouterie,positive
1394,bijoutier,positive
1395,bilatéral,positive
1396,bile,negative
1397,bilingue,positive
1398,billard,positive
1399,bille,positive
1400,billet,positive
1401,bimensuel,positive
1402,bimestriel,positive
1403,binaire,positive
1404,binoculaire,positive
1405,binôme,positive
1406,binomial,positive
1407,biogenèse,positive
1408,biographe,positive
1409,biographie,positive
1410,biologie,positive
1411,biopsie,negative
1412,biosphère,positive
1413,bipartite,positive
1414,bis,positive
1415,bisannuel,positive
1416,bise,positive
1417,biseau,positive
1418,biseauter,positive
1419,bisexuel,positive
1420,bison,negative
1421,bisou,positive
1422,bisque,negative
1423,bit,positive
